HOUR,ENERGY PER HOUR,NORMALIZED ENERGY
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0.122,0.025913339
7,0.342,0.072642311
8,0.491,0.104290569
9,0.128,0.027187766
10,0.543,0.115335599
11,0.165,0.035046729
12,0.254,0.053950722
13,0.675,0.143372982
14,0.556,0.118096856
15,0.764,0.162276975
16,0.345,0.073279524
17,0.211,0.044817332
18,0.1,0.021240442
19,0.012,0.002548853
20,0,0
21,0,0
22,0,0
23,0,0
,,
OVERALL ENERGY,4.708,1
