HOUR,ENERGY PER HOUR,NORMALIZED ENERGY
0,1.012,0.111934521
1,0.988,0.109279947
2,0.876,0.096891937
3,1.123,0.124211923
4,1.241,0.137263577
5,0.993,0.109832983
6,0.657,0.072668953
7,0.554,0.061276407
8,0.512,0.056630904
9,0.129,0.014268333
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0.143,0.015816834
22,0.254,0.028094237
23,0.559,0.061829444
,,
OVERALL ENERGY,9.041,1
