HOUR,ENERGY PER HOUR,NORMALIZED ENERGY
0,0.765,0.112582781
1,0.898,0.132155997
2,0.654,0.096247241
3,0.751,0.110522443
4,0.772,0.113612951
5,0.543,0.0799117
6,0.657,0.096688742
7,0.326,0.047976453
8,0.212,0.031199411
9,0.112,0.016482708
10,0.091,0.0133922
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0.234,0.034437086
22,0.67,0.098601913
23,0.11,0.016188374
,,
OVERALL ENERGY,6.795,1
